network_k_10	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_10	10	0.4155298	0.3681126	0.3640772	0.3548642	0.37208119999999995	0.3517036	0.39248839999999996	0.38537520000000003	0.3622126	0.389657	0.3618868	0.4111378	0.4189512000000001	0.39093479999999997	0.40326760000000006	0.3788424	0.2204692	0.2149784	0.218308	0.43721560000000004	0.4491881999999999	0.43942139999999996	0.4236886	0.4437116	0.4671812	0.23487740000000001	0.215262	0.195886
network_k_10	20	0.5644686	0.4605264	0.4919846	0.4852084	0.5001508	0.4640554	0.5040196	0.5108233999999999	0.4872154	0.5088214	0.4693726	0.5315044	0.5337441999999999	0.49887320000000007	0.5127596000000001	0.5098134	0.2741074	0.276565	0.2756302	0.5638881999999998	0.5737669999999999	0.5771691999999999	0.5234605999999999	0.5604854	0.5897045999999999	0.2732736	0.2681652	0.2237606
network_k_10	30	0.664801	0.5597016	0.5632515999999999	0.5654396	0.5959356	0.5312484	0.6008078	0.604901	0.5823306	0.6071848	0.5518820000000001	0.6139006000000001	0.6192182	0.5827768	0.6072968	0.5994204000000001	0.3044898	0.3053264	0.30610899999999996	0.6473796	0.6573852	0.6530908	0.5974356000000001	0.6357792	0.6754804	0.30836579999999997	0.30315519999999996	0.2491154
network_k_10	40	0.7323134	0.6182932	0.6439816	0.6293518	0.6595804000000001	0.6206381999999999	0.6638444	0.6760680000000001	0.652964	0.6748318	0.6425236	0.6835134	0.6988926	0.6691942	0.7002638	0.6626070000000001	0.3225106	0.3202166	0.31854499999999997	0.7098704	0.7350378	0.7225274	0.643652	0.6965456	0.731841	0.32427799999999996	0.30640520000000004	0.25805120000000004
network_k_10	50	0.8024943999999999	0.7002419999999999	0.720855	0.6899254	0.7300524	0.69668	0.7271206	0.7506048	0.7257798	0.7452833999999999	0.7004412	0.7382846	0.7661450000000001	0.7334284	0.7654958000000001	0.7397929999999999	0.33693199999999995	0.33393700000000004	0.33558460000000007	0.7672518	0.7763576000000001	0.7787648	0.6882869999999999	0.7531814000000001	0.7825268000000001	0.34019220000000006	0.32415779999999994	0.269156
network_k_10	60	0.8535001999999998	0.7750278	0.7856408	0.7597752	0.7877096	0.7610308	0.8129056	0.8131071999999999	0.7782474	0.800982	0.775623	0.818234	0.82395	0.7931228000000001	0.8173109999999999	0.8065899999999999	0.34625720000000004	0.3443708	0.345548	0.8148346	0.8300139999999999	0.8229852	0.7168828	0.7928474	0.8249772	0.3480482	0.33660239999999997	0.273128
network_k_10	70	0.901838	0.8333748	0.8351836	0.8183018000000001	0.8425176000000001	0.8096305999999999	0.8623108	0.8692411999999999	0.8510246	0.8630352	0.8548674	0.8665744	0.8779858	0.8476682	0.8605804000000001	0.8623964000000001	0.3491084	0.35007160000000004	0.3496584	0.856662	0.8743012	0.8673457999999998	0.7576108	0.8369858000000001	0.8713208	0.3540406	0.33289120000000005	0.27916659999999993
network_k_10	80	0.9402514	0.8977568	0.8950127999999999	0.8925494	0.9087182	0.8769244	0.9139622	0.9208706	0.9146254	0.9166003999999999	0.9069252000000001	0.9224254000000001	0.9269574	0.9158148	0.9148104	0.9190305999999999	0.3513104	0.3537066	0.353996	0.8958788	0.909442	0.9089331999999999	0.781957	0.8646100000000001	0.9073437999999999	0.357645	0.34553500000000004	0.2772692
network_k_10	90	0.9658884000000001	0.9358924	0.9417918000000001	0.9515255999999999	0.9435832	0.9287552	0.9560587999999999	0.9572356000000001	0.9611234	0.9603733999999999	0.9547184	0.9628388000000001	0.9603058000000001	0.9558768000000001	0.9576456	0.955363	0.35712059999999995	0.3540324	0.3520026	0.9172270000000001	0.9293598	0.9271733999999998	0.7934664	0.8838948	0.9261402000000001	0.3689262	0.3456108	0.2841248
network_k_10	100	0.973752	0.9687084	0.9591114	0.9709832	0.9709576	0.9669144	0.9718944	0.9688015999999999	0.9704775999999999	0.9723542000000001	0.9717784	0.9772266000000001	0.9764252000000001	0.9724608	0.9747918	0.9719778	0.36224819999999996	0.35836939999999995	0.353072	0.9263631999999999	0.9379014	0.9402202000000001	0.792314	0.8987377999999999	0.9427443999999999	0.374496	0.3515084	0.2843292

network_k_25	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_25	10	0.6200966	0.6110561999999999	0.6130728	0.5986442000000001	0.6206566	0.6238782	0.6400798	0.6383141999999999	0.6300768	0.6381572000000001	0.637126	0.6562745999999999	0.642865	0.649551	0.6524392000000001	0.649869	0.1936598	0.193085	0.1919794	0.717412	0.7000108	0.280937	0.6679309999999999	0.7501258	0.7539896	0.37502779999999997	0.36486300000000005	0.3125422
network_k_25	20	0.8508368	0.8387233999999999	0.8359146000000001	0.834736	0.8411899999999999	0.832587	0.8535586000000001	0.8460158	0.8397372000000001	0.8623434	0.8330504	0.8583014	0.8697128	0.8564945999999999	0.8673439999999999	0.8569321999999999	0.2380188	0.23808880000000002	0.2368174	0.8937330000000001	0.8921053999999999	0.32384880000000005	0.7521302	0.8959052	0.8916538	0.475835	0.4488246	0.38632940000000004
network_k_25	30	0.9745644	0.9648372000000001	0.9571542000000001	0.9669048	0.9714037999999998	0.9670322	0.9720726000000001	0.9673496	0.973912	0.9723672000000001	0.9681325999999999	0.9678352	0.9687583999999999	0.9686385999999999	0.9739238	0.9707832	0.2634316	0.2607526	0.25905680000000003	0.9770956	0.9723384000000002	0.3438312	0.787785	0.9644842	0.9685767999999999	0.491334	0.48463540000000005	0.4186922
