breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
breast_variant_human_mammary_epithelial_cells_vhmec	10	0.366382	0.251656	0.28786	0.273865	0.279768	0.308432	0.254722	0.237335	0.253812	0.27644	0.255179	0.348545	0.254947	0.338875	0.257662	0.343736	0.050424	0.068238	0.056693	0.042658	0.0861	0.040815	0.05937	0.086149	0.087758	0.039578	0.048703	0.054038
breast_variant_human_mammary_epithelial_cells_vhmec	20	0.398643	0.269887	0.291513	0.302945	0.338679	0.351722	0.28479	0.310832	0.302386	0.323331	0.306282	0.334505	0.306168	0.311917	0.291764	0.340458	0.065926	0.058679	0.055968	0.039377	0.070361	0.031288	0.046262	0.075799	0.052281	0.032907	0.048578	0.040297
breast_variant_human_mammary_epithelial_cells_vhmec	30	0.391349	0.312502	0.283053	0.312398	0.298071	0.274403	0.282277	0.318229	0.275378	0.308797	0.287072	0.318942	0.326159	0.293649	0.320273	0.331367	0.062077	0.059511	0.053634	0.033217	0.071068	0.036559	0.043061	0.067929	0.046312	0.020989	0.029018	0.035988
breast_variant_human_mammary_epithelial_cells_vhmec	40	0.340354	0.288797	0.297848	0.270465	0.299598	0.285771	0.273363	0.301057	0.277267	0.279371	0.278064	0.276179	0.280616	0.280117	0.286612	0.289464	0.049874	0.053724	0.049082	0.025045	0.052496	0.026863	0.045662	0.049009	0.045963	0.018509	0.02907	0.03588
breast_variant_human_mammary_epithelial_cells_vhmec	50	0.331252	0.267314	0.248975	0.254762	0.256961	0.248064	0.252011	0.27401	0.264184	0.256311	0.237855	0.253086	0.252972	0.27893	0.256929	0.268655	0.04867	0.049154	0.048719	0.028463	0.046478	0.023935	0.037062	0.044352	0.045897	0.022426	0.029037	0.042975
breast_variant_human_mammary_epithelial_cells_vhmec	60	0.314141	0.228243	0.230146	0.221999	0.22135	0.243613	0.226307	0.232766	0.221939	0.215597	0.231249	0.237281	0.216462	0.22518	0.24834	0.237393	0.044659	0.04387	0.043467	0.026189	0.036585	0.026709	0.038258	0.042003	0.033932	0.015241	0.030911	0.035847
breast_variant_human_mammary_epithelial_cells_vhmec	70	0.303627	0.183254	0.20668	0.209436	0.228173	0.190764	0.211864	0.217337	0.219638	0.223092	0.203134	0.2143	0.200607	0.236583	0.216844	0.213796	0.042092	0.040304	0.037616	0.024571	0.03146	0.022589	0.028909	0.045152	0.027838	0.014629	0.023288	0.027195
breast_variant_human_mammary_epithelial_cells_vhmec	80	0.285625	0.179874	0.179769	0.190449	0.217779	0.172679	0.20051	0.184997	0.182927	0.202288	0.197703	0.214473	0.189028	0.216071	0.198773	0.219452	0.036122	0.040168	0.037806	0.024428	0.028542	0.024881	0.027456	0.033226	0.038657	0.017113	0.019692	0.031185
breast_variant_human_mammary_epithelial_cells_vhmec	90	0.270719	0.179719	0.180381	0.184752	0.167953	0.153384	0.170433	0.163446	0.185532	0.185094	0.180166	0.196633	0.185466	0.173733	0.202772	0.183367	0.032881	0.03519	0.034451	0.017107	0.027746	0.019333	0.025216	0.03578	0.031749	0.009835	0.026716	0.02595
breast_variant_human_mammary_epithelial_cells_vhmec	100	0.248605	0.170521	0.171765	0.16764	0.179333	0.149901	0.152545	0.164721	0.171844	0.177448	0.159786	0.179634	0.164679	0.187366	0.18354	0.180426	0.034039	0.034986	0.035427	0.018098	0.027204	0.021448	0.025042	0.031704	0.033619	0.014514	0.025742	0.028315
