breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
breast_variant_human_mammary_epithelial_cells_vhmec	10	0.450355	0.179325	0.164718	0.174343	0.177923	0.172539	0.196648	0.182712	0.174142	0.173865	0.174796	0.170436	0.189236	0.182395	0.175496	0.174053	-0.001438	-0.003257	-0.000534	0.036106	0.050101	0.045592	0.011884	-0.017323	0.02835	0.01197	0.059581	0.065935
breast_variant_human_mammary_epithelial_cells_vhmec	20	0.436928	0.188533	0.180125	0.186036	0.192417	0.193771	0.194901	0.188694	0.185774	0.189099	0.189437	0.195993	0.198128	0.190278	0.190303	0.184436	-0.002478	-0.001228	-0.001391	0.04093	0.04754	0.045003	0.004909	0.005735	0.034996	0.014623	0.038971	0.048422
breast_variant_human_mammary_epithelial_cells_vhmec	30	0.420912	0.194249	0.185463	0.189686	0.19021	0.193605	0.2012	0.193971	0.184221	0.195513	0.192461	0.194785	0.197921	0.194801	0.191615	0.193979	-0.002599	-0.000894	-0.002369	0.034541	0.026505	0.027072	0.009289	0.016535	0.028658	0.012345	0.027767	0.028685
breast_variant_human_mammary_epithelial_cells_vhmec	40	0.381954	0.190627	0.187237	0.191643	0.19518	0.191462	0.197305	0.197919	0.186994	0.201149	0.196752	0.196624	0.197902	0.19838	0.193742	0.194847	-0.002574	-0.002701	-0.002059	0.019484	0.027587	0.024756	0.011498	0.017392	0.017393	0.010685	0.019311	0.020245
breast_variant_human_mammary_epithelial_cells_vhmec	50	0.350617	0.195955	0.196247	0.189792	0.198225	0.191348	0.195453	0.194779	0.198712	0.195467	0.198054	0.191329	0.196461	0.198755	0.194386	0.19341	-0.00231	-0.002394	-0.002777	0.018588	0.021526	0.019395	0.015041	0.010833	0.015671	0.008843	0.016246	0.025721
breast_variant_human_mammary_epithelial_cells_vhmec	60	0.329519	0.199129	0.194972	0.1942	0.197453	0.199225	0.197438	0.197616	0.18557	0.199693	0.193619	0.198949	0.199227	0.199305	0.197152	0.193299	-0.002506	-0.002876	-0.002065	0.015758	0.015481	0.01699	0.009399	0.013276	0.015589	0.01006	0.011797	0.013237
breast_variant_human_mammary_epithelial_cells_vhmec	70	0.335248	0.198097	0.196265	0.197967	0.193238	0.197461	0.200344	0.194209	0.182381	0.193759	0.195946	0.196582	0.194995	0.199891	0.199634	0.199389	-0.002158	-0.001772	-0.002065	0.016348	0.013792	0.014728	0.010161	0.008306	0.012746	0.006758	0.01151	0.010491
breast_variant_human_mammary_epithelial_cells_vhmec	80	0.31252	0.19852	0.196918	0.20044	0.198427	0.192385	0.199596	0.19853	0.189559	0.194798	0.199489	0.194807	0.192827	0.201888	0.196779	0.195483	-0.001969	-0.002887	-0.001251	0.009642	0.012844	0.017161	0.009637	0.011816	0.015203	0.006065	0.013147	0.011233
breast_variant_human_mammary_epithelial_cells_vhmec	90	0.325141	0.194922	0.186863	0.198987	0.198678	0.199496	0.197943	0.197523	0.200135	0.199891	0.196037	0.196741	0.1962	0.200031	0.197983	0.196926	-0.002278	-0.003201	-0.001723	0.013797	0.013536	0.015909	0.009727	0.012976	0.013516	0.005586	0.008862	0.010331
breast_variant_human_mammary_epithelial_cells_vhmec	100	0.314432	0.195184	0.194868	0.197998	0.199673	0.196819	0.20572	0.198013	0.198344	0.198409	0.20153	0.198955	0.193291	0.201771	0.184666	0.197448	-0.003011	-0.002628	-0.002552	0.006668	0.012384	0.013216	0.006453	0.007738	0.01349	0.00487	0.00797	0.0083

