breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
breast_variant_human_mammary_epithelial_cells_vhmec	10	0.432153	0.128645	0.450649	0.486149	0.469668	0.495677	0.507698	0.463511	0.517983	0.513303	0.50581	0.524385	0.521967	0.519391	0.517956	0.52625	0.528273	0.387999	0.487786	0.396786	0.224673	0.275786	0.19818	0.212399	0.239091	0.242765	0.187286	0.187732	0.226032
breast_variant_human_mammary_epithelial_cells_vhmec	20	0.493992	0.138828	0.472223	0.521574	0.507979	0.510298	0.516935	0.479088	0.521089	0.523126	0.518587	0.528237	0.525163	0.529259	0.53649	0.539985	0.538166	0.531678	0.531498	0.52487	0.264087	0.305986	0.296517	0.255268	0.265315	0.261817	0.220001	0.198034	0.225825
breast_variant_human_mammary_epithelial_cells_vhmec	30	0.505417	0.165131	0.493036	0.517006	0.510798	0.507698	0.513844	0.500153	0.539058	0.53314	0.503886	0.5197	0.519775	0.534423	0.533143	0.514314	0.537904	0.531043	0.528241	0.507831	0.26525	0.288816	0.284407	0.248907	0.269323	0.271247	0.222765	0.203337	0.1997
breast_variant_human_mammary_epithelial_cells_vhmec	40	0.487357	0.174036	0.477575	0.518148	0.498224	0.507907	0.509109	0.469501	0.526065	0.51907	0.506907	0.513272	0.52421	0.507066	0.512729	0.532628	0.534127	0.541206	0.520784	0.522065	0.26371	0.283984	0.28546	0.250835	0.269754	0.283513	0.229175	0.209218	0.204097
breast_variant_human_mammary_epithelial_cells_vhmec	50	0.470471	0.194178	0.471402	0.513508	0.47758	0.497587	0.487036	0.485709	0.514118	0.507071	0.501316	0.503365	0.505664	0.525064	0.514407	0.505203	0.519496	0.52827	0.525731	0.502852	0.249339	0.266123	0.286741	0.241275	0.268051	0.273621	0.206963	0.182593	0.191271
breast_variant_human_mammary_epithelial_cells_vhmec	60	0.474921	0.208071	0.480621	0.500041	0.483063	0.503019	0.483621	0.442121	0.508781	0.478408	0.504007	0.493789	0.50892	0.507936	0.516743	0.508277	0.512833	0.529599	0.537086	0.532619	0.247318	0.265056	0.285603	0.229062	0.26614	0.269034	0.185325	0.178962	0.166406
breast_variant_human_mammary_epithelial_cells_vhmec	70	0.44966	0.188727	0.454061	0.482509	0.48723	0.496618	0.468398	0.437915	0.498695	0.496911	0.49004	0.489439	0.496521	0.499507	0.501471	0.505538	0.491099	0.539225	0.524025	0.518613	0.248956	0.257267	0.273036	0.237333	0.257263	0.272588	0.166774	0.180869	0.153222
breast_variant_human_mammary_epithelial_cells_vhmec	80	0.457296	0.209571	0.451455	0.485464	0.468376	0.473881	0.468381	0.43799	0.495757	0.482351	0.474906	0.494323	0.473083	0.481821	0.479116	0.477884	0.484577	0.529437	0.512737	0.528336	0.239352	0.258932	0.250301	0.234079	0.258951	0.261652	0.198867	0.165782	0.157914
breast_variant_human_mammary_epithelial_cells_vhmec	90	0.457302	0.223205	0.448741	0.474599	0.47826	0.462822	0.46597	0.427244	0.468482	0.478528	0.457151	0.467092	0.464207	0.481299	0.483115	0.479826	0.480238	0.526086	0.507448	0.512224	0.211216	0.240513	0.251701	0.236768	0.248291	0.261701	0.170279	0.150382	0.159375
breast_variant_human_mammary_epithelial_cells_vhmec	100	0.452789	0.21332	0.445557	0.46579	0.457559	0.460308	0.469317	0.439297	0.467013	0.465878	0.46807	0.457445	0.474902	0.46231	0.466384	0.480481	0.48305	0.522218	0.496973	0.516033	0.233253	0.244069	0.260252	0.229931	0.245242	0.252569	0.174108	0.151003	0.129956

