network_k_10	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_10	10	0.0171136	-0.021452799999999998	-0.0175004	-0.019919199999999998	-0.0154306	-0.014105799999999998	-0.029424600000000002	-0.0134188	-0.0302392	-0.0166752	-0.0198394	-0.0133796	-0.016039	-0.017370999999999998	-0.019331	-0.0045364	-0.06330079999999999	-0.045509400000000005	-0.06764600000000001	0.1122952	0.3055432	0.30528520000000003	0.015066199999999998	0.021383	0.0566096	-0.009635399999999999	-0.0030929999999999985	0.014609199999999998
network_k_10	20	0.0502306	0.017391800000000002	0.035612000000000005	0.0171842	0.0277064	0.0217842	0.029568800000000006	0.0267706	0.0207298	0.028407000000000005	0.031542	0.0329052	0.0309624	0.027640599999999998	0.0186068	0.016866	-0.033991799999999996	-0.028943800000000002	-0.0353498	0.13213439999999999	0.2848326	0.3033726	0.050199799999999996	0.052296199999999994	0.0983086	0.0226156	0.029371400000000002	0.025534800000000003
network_k_10	30	0.09006620000000001	0.062476	0.08328680000000001	0.08624280000000001	0.072468	0.07801680000000001	0.08172979999999999	0.0822268	0.0840644	0.08692980000000002	0.06741079999999999	0.0776022	0.071157	0.0943278	0.08791260000000001	0.0788284	0.0030922	-0.022109399999999998	-0.016209400000000002	0.155512	0.2773318	0.3069626	0.10030239999999999	0.10674760000000001	0.1131116	0.048526200000000005	0.06918339999999999	0.0521174
network_k_10	40	0.12152199999999999	0.12027159999999999	0.142421	0.131711	0.13772079999999998	0.1318036	0.1415032	0.13631739999999998	0.14536960000000002	0.138366	0.1313214	0.1386062	0.1294978	0.1499732	0.148085	0.14340340000000001	0.0324924	0.008275399999999999	0.014399599999999999	0.16911479999999998	0.26506179999999996	0.31081879999999995	0.14369800000000002	0.1527626	0.15869019999999998	0.0495584	0.0710696	0.0645898
network_k_10	50	0.1651274	0.18931880000000004	0.191448	0.183375	0.1967992	0.1792214	0.187419	0.19021919999999998	0.1857036	0.1909654	0.17919400000000002	0.1932718	0.1847184	0.1829852	0.191735	0.18937500000000002	0.032189800000000005	0.033721	0.032026	0.198187	0.2609866	0.3182674	0.19244860000000003	0.1967902	0.191919	0.08120859999999999	0.0915024	0.1015248
network_k_10	60	0.2124114	0.23439000000000002	0.23479360000000002	0.2287366	0.24216220000000002	0.2224006	0.23705420000000005	0.24103539999999998	0.23846599999999998	0.236689	0.2291436	0.2321818	0.23344559999999998	0.2370798	0.23376239999999998	0.23519740000000003	0.039554599999999995	0.046738999999999996	0.028404199999999998	0.22791419999999998	0.2690836	0.3142724	0.23074019999999998	0.23237319999999997	0.2409226	0.1058956	0.0902252	0.11237819999999998
network_k_10	70	0.2546586	0.2651118	0.2731412	0.26679179999999997	0.2644052	0.2665938	0.2641534	0.27156119999999995	0.265181	0.2716324	0.2641882	0.2658554	0.26781320000000003	0.26876439999999996	0.2670968	0.2721388	0.036439	0.025234200000000002	0.026806399999999998	0.2699668	0.2769692	0.309102	0.2740468	0.27078040000000003	0.2732446	0.10702320000000001	0.10683899999999999	0.11134840000000001
network_k_10	80	0.29825120000000005	0.2854756	0.28678919999999997	0.2772608	0.283317	0.2834018	0.29304640000000004	0.2839958	0.2715474	0.28845680000000007	0.285296	0.2796244	0.2850284	0.2801622	0.2711964	0.290057	0.002884	-0.000553	0.0011197999999999985	0.3022722	0.2925172	0.3109948	0.30869800000000003	0.3079592	0.3088456	0.089811	0.1007292	0.10116420000000001
network_k_10	90	0.3247322	0.2796508	0.29129839999999996	0.26928159999999995	0.2805002	0.2852428	0.2783774	0.2815302	0.2761616	0.276391	0.289658	0.2782832	0.2800354	0.2803236	0.275976	0.27793080000000003	-0.008625399999999998	-0.025058199999999996	-0.023425999999999995	0.3101764	0.29696819999999996	0.30211180000000004	0.32355720000000004	0.32934120000000006	0.3264028	0.08178320000000001	0.10263560000000001	0.10197379999999998
network_k_10	100	0.284905	0.25446	0.27070819999999995	0.26379579999999997	0.264075	0.25823799999999997	0.26458719999999997	0.2634304	0.24762800000000001	0.26267820000000003	0.25103	0.2644502	0.25660000000000005	0.26248839999999996	0.25885539999999996	0.2598686	-0.047599	-0.048419199999999996	-0.0513772	0.29298260000000004	0.2873738	0.291239	0.30429599999999996	0.3039136	0.3009616	0.07565519999999999	0.08186660000000001	0.0891132

network_k_25	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_25	10	0.06867880000000001	0.13839640000000003	0.13943	0.09930299999999999	0.1309244	0.12368700000000002	0.144874	0.162975	0.11759739999999999	0.11479520000000001	0.15809020000000001	0.12375879999999999	0.15743800000000002	0.1114306	0.13443899999999998	0.1401728	-0.1832328	-0.1887892	-0.1820878	0.30766140000000003	0.34953559999999995	0.32940479999999994	0.1680582	0.2019358	0.2175668	0.015524199999999998	-0.014499599999999998	-0.0246174
network_k_25	20	0.1692056	0.23523	0.23832840000000002	0.22044159999999996	0.2271944	0.2275354	0.22924899999999998	0.24232040000000002	0.2139334	0.21050960000000002	0.229378	0.22344499999999998	0.23969800000000002	0.2215306	0.23106580000000002	0.22925000000000004	-0.1886126	-0.18805	-0.1961982	0.310607	0.3377896	0.3400234	0.193808	0.2347826	0.243875	-0.0859882	-0.09351620000000001	-0.0698938
network_k_25	30	0.274501	0.2537764	0.252378	0.265915	0.2625714	0.24927960000000002	0.2500638	0.25987140000000003	0.2754558	0.2482812	0.2545008	0.2595004	0.24984960000000003	0.2604686	0.2633014	0.2596024	-0.1948142	-0.2005396	-0.1962094	0.303779	0.3367048	0.3330214	0.2882416	0.2866216	0.29914380000000007	-0.0772618	-0.0660292	-0.061881200000000004
network_k_25	40	0.263188	0.2186794	0.21965019999999996	0.23290219999999998	0.23579440000000002	0.2280576	0.22834399999999996	0.22650580000000003	0.23166420000000004	0.2203158	0.22396080000000002	0.22496999999999998	0.212569	0.2338626	0.2315846	0.22618140000000003	-0.21558419999999998	-0.2115824	-0.21403999999999995	0.299375	0.304169	0.30587200000000003	0.3022304	0.30491060000000003	0.3056214	-0.06065860000000001	-0.047688799999999996	-0.0444934
network_k_25	50	0.1760262	0.1767514	0.1765092	0.17237100000000002	0.18265099999999998	0.1718838	0.171587	0.177769	0.1795018	0.17602820000000002	0.17554140000000001	0.1703484	0.1729476	0.1682794	0.1722642	0.17833780000000002	-0.2211684	-0.23498480000000002	-0.2343674	0.2395568	0.23395899999999997	0.2380792	0.2454742	0.24192000000000005	0.2453592	-0.0455276	-0.03193939999999999	-0.0269152
network_k_25	60	0.11544079999999998	0.121027	0.1324654	0.1202062	0.13128120000000001	0.13022640000000002	0.131412	0.13611239999999997	0.1268502	0.12881700000000001	0.1204182	0.12407559999999998	0.1227822	0.11815880000000001	0.13293300000000002	0.12605019999999997	-0.234527	-0.23849179999999998	-0.23433739999999997	0.178541	0.1736236	0.17357019999999998	0.1879368	0.18555259999999998	0.186332	-0.0459102	-0.029282600000000002	-0.0194676
network_k_25	70	0.07338879999999999	0.0876258	0.0936512	0.0847178	0.0856012	0.0814122	0.094126	0.0961896	0.08432980000000001	0.0883228	0.0789666	0.08662500000000001	0.08946760000000001	0.0769802	0.09491740000000001	0.08337800000000001	-0.249268	-0.2448318	-0.2362362	0.13252239999999998	0.136785	0.13366160000000002	0.140977	0.139065	0.1372592	-0.0409582	-0.028654600000000002	-0.017786000000000003
network_k_25	80	0.043503200000000006	0.0555296	0.067437	0.050445000000000004	0.0582194	0.056386599999999995	0.0625594	0.0649308	0.058007199999999995	0.061792599999999996	0.0525056	0.0518446	0.055513400000000004	0.0524386	0.06018520000000001	0.054506399999999997	-0.24410099999999998	-0.25395880000000004	-0.2491412	0.0982168	0.0930924	0.09109819999999999	0.10482680000000003	0.10573079999999999	0.09430459999999999	-0.0401836	-0.028200999999999997	-0.0184994
network_k_25	90	0.018386800000000002	0.0322792	0.040571800000000005	0.0291982	0.036574	0.036109999999999996	0.042468	0.052354	0.03579619999999999	0.04070499999999999	0.0379566	0.030961399999999993	0.0328254	0.0310106	0.04045220000000001	0.0329772	-0.25761139999999993	-0.2640966	-0.2556402	0.07925059999999999	0.0637086	0.06493620000000001	0.07316059999999999	0.0746974	0.0741358	-0.05103420000000001	-0.030619	-0.015464399999999998
network_k_25	100	-0.0103124	0.0117836	0.0183112	0.0150116	0.016787	0.0137478	0.0185836	0.0319398	0.014721000000000001	0.022059199999999998	0.0178052	0.0103264	0.017685600000000003	0.016136400000000002	0.014426	0.014872	-0.25671499999999997	-0.2677916	-0.2582546	0.057867800000000004	0.0477476	0.0496144	0.054768800000000006	0.055192200000000004	0.053831399999999995	-0.046193200000000004	-0.0214546	-0.026379800000000002

network_k_50	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_50	10	0.3191106	0.3304273999999999	0.31413	0.3232598	0.32593179999999994	0.3303568	0.317407	0.3246272	0.3135948	0.32101379999999996	0.3256392	0.32635240000000004	0.3244166	0.3296	0.32503019999999994	0.3137492	-0.015600799999999998	-0.0303662	-0.0436536	0.42362520000000004	0.42351419999999995	0.42402660000000003	0.3217066	0.37455520000000003	0.3674848	0.045406	0.106294	0.11071360000000001
network_k_50	20	0.35790940000000004	0.32235699999999995	0.33620680000000003	0.3219536	0.32699259999999997	0.3179568	0.340322	0.3284942	0.3151568	0.3470956	0.3165324	0.3430602	0.31266140000000003	0.3219538	0.3202488	0.3186976	-0.2255048	-0.1947036	-0.19739460000000003	0.37924979999999997	0.37921140000000003	0.3788202	0.3805802	0.37848699999999996	0.3813422	-0.025501799999999998	-0.023183600000000002	-0.0223802
network_k_50	30	0.1637768	0.13684999999999997	0.1500798	0.1364678	0.138518	0.1354252	0.16241840000000002	0.1492132	0.14257499999999998	0.15074700000000002	0.149713	0.1437156	0.1348098	0.151758	0.142562	0.150448	-0.2656688	-0.261201	-0.24478899999999998	0.1824648	0.1885594	0.188256	0.19451259999999998	0.1880912	0.183755	-0.037495	-0.040628	-0.0296432
network_k_50	40	0.0953898	0.05960259999999999	0.06097380000000001	0.04403	0.0660974	0.0467712	0.0711476	0.061577599999999996	0.06427740000000001	0.0701716	0.0483046	0.0642452	0.0700566	0.07150799999999999	0.07278100000000001	0.0512702	-0.24165779999999998	-0.2600856	-0.28807720000000003	0.0837164	0.0919014	0.08934719999999999	0.10444280000000002	0.0984872	0.0949148	-0.057879	-0.0655582	-0.043313199999999996
network_k_50	50	0.044502799999999995	0.0073512	0.022188	0.0113268	0.0119348	0.013544	0.019151399999999996	0.018637400000000002	0.0213306	0.0250994	0.0205038	0.0193228	0.013608199999999997	0.0163918	0.0111682	0.019661400000000002	-0.28949600000000003	-0.30154559999999997	-0.3093412	0.0445212	0.045528400000000004	0.045952200000000006	0.0519728	0.052107400000000005	0.047780600000000006	-0.0725814	-0.07092280000000001	-0.0685798
network_k_50	60	0.0097226	-0.0084672	-0.0031702	-0.0087814	-0.0035222000000000005	-0.0073574	-3.54000000000014e-05	0.0033052	-0.012706	0.01098	-0.0069762	-0.002188399999999999	0.0040044	-0.0041528	-0.007971800000000001	-0.005875	-0.312533	-0.31374579999999996	-0.3159926	0.0277694	0.0285198	0.0263978	0.027466200000000003	0.026004199999999998	0.028482399999999998	-0.08524620000000001	-0.0883418	-0.0641506
network_k_50	70	-0.003915	-0.029105799999999998	-0.0189772	-0.0304626	-0.019814	-0.0172818	-0.0183112	-0.0145296	-0.023142600000000003	-0.0181218	-0.021748399999999998	-0.013242799999999999	-0.0167712	-0.0175422	-0.022713	-0.020496000000000004	-0.3089432	-0.323243	-0.3230434	0.014514000000000003	0.0165116	0.015592600000000002	0.014763799999999999	0.0165242	0.015762599999999998	-0.089446	-0.08811899999999999	-0.07881
network_k_50	80	-0.030586799999999997	-0.0342108	-0.025013600000000004	-0.0363208	-0.028065600000000003	-0.0286256	-0.024235800000000002	-0.024661400000000003	-0.0290862	-0.027096	-0.0315052	-0.0252708	-0.026617000000000002	-0.0285674	-0.0312222	-0.028655599999999996	-0.3288392	-0.3244608	-0.33013220000000004	0.0067402	0.0082744	0.0069968	0.005265399999999999	0.005507	0.006465	-0.0936064	-0.088561	-0.080996
network_k_50	90	-0.050268400000000005	-0.044064000000000006	-0.028111199999999996	-0.0416266	-0.03431920000000001	-0.037150999999999997	-0.028799799999999997	-0.0269596	-0.0349562	-0.0327444	-0.0373152	-0.0327124	-0.0341848	-0.0331278	-0.038195	-0.0347156	-0.33643839999999997	-0.3401354	-0.3416442	-0.0012906	-0.001267	0.0005582000000000001	-0.0013327999999999999	0.00011379999999999988	0.00022259999999999988	-0.0969762	-0.0763884	-0.077799
network_k_50	100	-0.0714048	-0.0482032	-0.0366016	-0.0477502	-0.0397622	-0.03830940000000001	-0.036231	-0.033986	-0.0390442	-0.036059999999999995	-0.039623000000000005	-0.039922599999999996	-0.037256	-0.0386264	-0.0458948	-0.037345199999999995	-0.338477	-0.34122020000000003	-0.3454236	-0.005865	-0.004591	-0.005352600000000001	-0.0076114	-0.0079178	-0.0057188000000000004	-0.0881448	-0.083578	-0.08855660000000001

network_k_100	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_100	10	0.4162496	0.40779920000000003	0.41157940000000004	0.3917368	0.3776598	0.385945	0.4034782	0.41513520000000004	0.3932876	0.3780008	0.3814732	0.41583819999999994	0.4028734	0.39988419999999997	0.4046434	0.40157239999999994	-0.0418978	-0.026460800000000007	-0.0385116	0.41586359999999994	0.41679320000000003	0.4163506	0.4166504	0.41713939999999994	0.4172146	0.021426800000000003	0.021883999999999997	0.022417
network_k_100	20	0.096543	0.0448686	0.0373256	0.034831	0.029116799999999998	0.0323908	0.047597799999999996	0.05452900000000001	0.025336000000000004	0.043658999999999996	0.025402799999999996	0.0406786	0.05792460000000001	0.036215399999999995	0.044494	0.07150859999999999	-0.1297306	-0.1385016	-0.12926200000000002	0.0538374	0.054033	0.05434599999999999	0.048786399999999994	0.0497606	0.054100800000000004	-0.01147	-0.0171674	-0.007786200000000002
