breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
breast_variant_human_mammary_epithelial_cells_vhmec	10	-0.280345	-0.340309	-0.317124	-0.347632	-0.284226	-0.341665	-0.306465	-0.272216	-0.367515	-0.304555	-0.316545	-0.208528	-0.254995	-0.316629	-0.172924	-0.34007	-0.000456	-0.021875	-0.036991	0.081279	0.164809	0.080089	0.083362	0.147586	0.138608	0.063103	0.044991	0.012365
breast_variant_human_mammary_epithelial_cells_vhmec	20	-0.2942	-0.349845	-0.37033	-0.346755	-0.350555	-0.376724	-0.345862	-0.36407	-0.38838	-0.361607	-0.342794	-0.353337	-0.349017	-0.387432	-0.328949	-0.368889	-0.072151	-0.059398	-0.032415	0.062994	0.102	0.016526	0.068139	0.085096	0.077327	-0.03773	-0.047134	-0.068548
breast_variant_human_mammary_epithelial_cells_vhmec	30	-0.29633	-0.372432	-0.374528	-0.358113	-0.345126	-0.368047	-0.375838	-0.375612	-0.373892	-0.365093	-0.37731	-0.359712	-0.356874	-0.387041	-0.361443	-0.369758	-0.090423	-0.093184	-0.0606	0.014446	0.050145	-0.000403	0.070677	0.049144	0.06555	-0.121308	-0.053845	-0.088349
breast_variant_human_mammary_epithelial_cells_vhmec	40	-0.354545	-0.350001	-0.367164	-0.372631	-0.380707	-0.377631	-0.357977	-0.378549	-0.380494	-0.345716	-0.360621	-0.375503	-0.375615	-0.375445	-0.363521	-0.372238	-0.093893	-0.098806	-0.097449	-0.022469	0.047075	-0.020967	0.035295	0.01437	0.054911	-0.114888	-0.110087	-0.128041
breast_variant_human_mammary_epithelial_cells_vhmec	50	-0.394622	-0.345013	-0.335171	-0.391598	-0.376143	-0.354299	-0.351699	-0.366215	-0.365386	-0.382243	-0.362	-0.369735	-0.382437	-0.36406	-0.362432	-0.357431	-0.144773	-0.133711	-0.115262	-0.013818	0.025435	-0.045023	0.007732	0.017166	0.037119	-0.162096	-0.111151	-0.169704
breast_variant_human_mammary_epithelial_cells_vhmec	60	-0.399382	-0.319102	-0.362395	-0.35603	-0.334052	-0.347635	-0.320797	-0.314039	-0.348753	-0.340799	-0.364823	-0.383797	-0.330355	-0.366916	-0.357981	-0.363421	-0.134742	-0.123495	-0.127102	0.004233	0.013183	-0.032363	0.00283	0.010842	0.032013	-0.156182	-0.13941	-0.183997
breast_variant_human_mammary_epithelial_cells_vhmec	70	-0.444588	-0.30845	-0.328954	-0.359249	-0.361238	-0.327615	-0.304105	-0.31702	-0.345473	-0.334628	-0.356044	-0.353587	-0.339402	-0.332082	-0.372112	-0.33602	-0.158756	-0.162173	-0.155536	-0.021403	0.011733	-0.033915	-0.003026	0.02246	0.020056	-0.176728	-0.141951	-0.168864
breast_variant_human_mammary_epithelial_cells_vhmec	80	-0.392067	-0.30506	-0.308221	-0.349415	-0.345272	-0.318155	-0.314412	-0.342785	-0.311139	-0.339638	-0.319401	-0.339989	-0.314652	-0.371737	-0.349985	-0.293418	-0.170567	-0.178268	-0.141055	-0.030279	0.008132	-0.051332	-0.025959	0.004902	0.02676	-0.166623	-0.17047	-0.201118
breast_variant_human_mammary_epithelial_cells_vhmec	90	-0.407928	-0.295346	-0.319875	-0.351017	-0.336066	-0.297031	-0.290483	-0.291953	-0.308919	-0.335118	-0.327314	-0.314848	-0.300057	-0.291832	-0.352192	-0.302388	-0.185181	-0.187374	-0.179189	-0.03605	0.005221	-0.073092	-0.022203	0.015908	0.009839	-0.194544	-0.167124	-0.211775
breast_variant_human_mammary_epithelial_cells_vhmec	100	-0.40815	-0.310909	-0.333869	-0.302574	-0.337414	-0.291044	-0.283155	-0.314809	-0.299932	-0.318211	-0.316247	-0.339246	-0.323623	-0.293372	-0.339509	-0.303367	-0.194587	-0.193313	-0.200097	-0.050662	-0.016053	-0.062426	-0.022411	-0.004006	0.011417	-0.165074	-0.187426	-0.192553

cd14_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd14_primary_cells	10	-0.476043	-0.20459	-0.187855	-0.184796	-0.215004	-0.171707	-0.225024	-0.195369	-0.227457	-0.213313	-0.207364	-0.266102	-0.214062	-0.205302	-0.199599	-0.199554	-0.078947	-0.076964	-0.071567	0.072655	0.118349	0.053052	0.102627	0.093729	0.116782	0.028162	0.080249	0.11954
cd14_primary_cells	20	-0.486866	-0.231433	-0.236214	-0.231876	-0.126619	-0.180705	-0.250814	-0.173889	-0.209291	-0.21993	-0.250025	-0.331604	-0.111216	-0.215671	-0.113496	-0.260723	-0.103409	-0.115479	-0.081211	0.038701	0.039415	-0.001664	0.006979	0.026342	0.077266	-0.019605	0.021216	0.040546
cd14_primary_cells	30	-0.455252	-0.182919	-0.239475	-0.199828	-0.11269	-0.22603	-0.214428	-0.179752	-0.215568	-0.189597	-0.157089	-0.211812	-0.188053	-0.212601	-0.162763	-0.210969	-0.146293	-0.112014	-0.179999	-0.007324	-0.014219	-0.010352	-0.001797	-0.000918	0.018675	-0.025089	-0.093049	0.002344
cd14_primary_cells	40	-0.427411	-0.154551	-0.214078	-0.224622	-0.116022	-0.219129	-0.160714	-0.175205	-0.149459	-0.201203	-0.10395	-0.196107	-0.127067	-0.194357	-0.156071	-0.201669	-0.159198	-0.205152	-0.175392	-0.013833	-0.020923	-0.010937	-0.044771	-0.045756	0.002928	0.006103	-0.041763	-0.05686
cd14_primary_cells	50	-0.438689	-0.188236	-0.13321	-0.196731	-0.111503	-0.185562	-0.155919	-0.130159	-0.128012	-0.114864	-0.113586	-0.182005	-0.11023	-0.154009	-0.120193	-0.163461	-0.204159	-0.212069	-0.207674	-0.032801	-0.017514	-0.043564	-0.048679	-0.050524	-0.004938	-0.04427	-0.057441	-0.045174
cd14_primary_cells	60	-0.409021	-0.137908	-0.145139	-0.185972	-0.10884	-0.218344	-0.135587	-0.103324	-0.121788	-0.110947	-0.094604	-0.18172	-0.110941	-0.141286	-0.104201	-0.109174	-0.219883	-0.206852	-0.221224	-0.038679	-0.023807	-0.035714	-0.050354	-0.052724	-0.029428	-0.059639	-0.082249	-0.086165
cd14_primary_cells	70	-0.405751	-0.138874	-0.111053	-0.152916	-0.070941	-0.113992	-0.136057	-0.084331	-0.140119	-0.10924	-0.077672	-0.160165	-0.095246	-0.108162	-0.055159	-0.108298	-0.241575	-0.240655	-0.248005	-0.032516	-0.035104	-0.045933	-0.061319	-0.039065	-0.029143	-0.120336	-0.117261	-0.129461
cd14_primary_cells	80	-0.379067	-0.105355	-0.089344	-0.103512	-0.072036	-0.134437	-0.058348	-0.104528	-0.077312	-0.085174	-0.08978	-0.141488	-0.055524	-0.083365	-0.062829	-0.070092	-0.265785	-0.267614	-0.2719	-0.0553	-0.035121	-0.054794	-0.063355	-0.045472	-0.022475	-0.095488	-0.101346	-0.137555
cd14_primary_cells	90	-0.402241	-0.100864	-0.074131	-0.115573	-0.067014	-0.136739	-0.088373	-0.069333	-0.087799	-0.064301	-0.076636	-0.113312	-0.075663	-0.081246	-0.022336	-0.068445	-0.290172	-0.279188	-0.282436	-0.066415	-0.038674	-0.059839	-0.065834	-0.029971	-0.032074	-0.135114	-0.091134	-0.14872
cd14_primary_cells	100	-0.400054	-0.081602	-0.062719	-0.119318	-0.082256	-0.13845	-0.065382	-0.096518	-0.10452	-0.083868	-0.039693	-0.099679	-0.076874	-0.054418	-0.027809	-0.065912	-0.295951	-0.286415	-0.289901	-0.073395	-0.035971	-0.066604	-0.06345	-0.044826	-0.05254	-0.106523	-0.117384	-0.150491

cd19	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd19	10	-0.323764	-0.324047	-0.380464	-0.39137	-0.336711	-0.383289	-0.380713	-0.389775	-0.336754	-0.341894	-0.416588	-0.415152	-0.395057	-0.388082	-0.385937	-0.344386	-0.094628	-0.096935	-0.10546	0.081774	0.060236	0.061912	0.042119	0.070712	0.056769	-0.004296	-0.022423	-0.127275
