breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
breast_variant_human_mammary_epithelial_cells_vhmec	10	-0.3522	-0.318363	-0.271707	-0.305281	-0.415526	-0.431742	-0.279942	-0.222585	-0.307671	-0.338722	-0.370472	-0.37407	-0.213289	-0.301479	-0.375153	-0.284824	-0.187368	-0.084657	-0.18308	0.092549	0.102399	0.100052	0.075161	0.010967	0.06588	-0.070037	-0.076718	-0.05108
breast_variant_human_mammary_epithelial_cells_vhmec	20	-0.329755	-0.348924	-0.418991	-0.371942	-0.42702	-0.45205	-0.444017	-0.565751	-0.517683	-0.469106	-0.483729	-0.522227	-0.435492	-0.393604	-0.452782	-0.547045	-0.099072	-0.26011	-0.163128	0.075674	0.058484	0.056066	-0.038457	-0.025991	0.01352	-0.117151	-0.113563	-0.105407
breast_variant_human_mammary_epithelial_cells_vhmec	30	-0.421733	-0.488727	-0.43485	-0.491338	-0.459922	-0.497986	-0.556688	-0.660894	-0.606333	-0.545785	-0.462411	-0.574926	-0.556618	-0.465745	-0.561231	-0.602313	-0.221057	-0.274716	-0.256899	0.04775	0.059877	0.016763	-0.007853	-0.047799	0.020863	-0.139633	-0.127762	-0.126623
breast_variant_human_mammary_epithelial_cells_vhmec	40	-0.375665	-0.564348	-0.544536	-0.640958	-0.559664	-0.553429	-0.655001	-0.57913	-0.665604	-0.52202	-0.473597	-0.662598	-0.703822	-0.554673	-0.672521	-0.68625	-0.325296	-0.304708	-0.31	0.030364	0.038188	0.016173	-0.068796	-0.06481	-0.027124	-0.144679	-0.153075	-0.144335
breast_variant_human_mammary_epithelial_cells_vhmec	50	-0.375032	-0.624731	-0.574162	-0.613125	-0.592547	-0.589894	-0.570513	-0.70478	-0.71331	-0.597533	-0.607532	-0.691813	-0.740424	-0.694174	-0.68739	-0.729837	-0.367889	-0.352241	-0.353389	0.018739	0.014457	0.021691	-0.072699	-0.041968	0.001316	-0.169875	-0.161403	-0.152765
breast_variant_human_mammary_epithelial_cells_vhmec	60	-0.403741	-0.707605	-0.675715	-0.64502	-0.702082	-0.717204	-0.667484	-0.718982	-0.727762	-0.665629	-0.578326	-0.733058	-0.714057	-0.72251	-0.745359	-0.686037	-0.355174	-0.40174	-0.334336	0.001863	0.007175	0.006879	-0.070013	-0.120143	-0.011624	-0.161136	-0.162625	-0.150329
breast_variant_human_mammary_epithelial_cells_vhmec	70	-0.49067	-0.699977	-0.656537	-0.709505	-0.728187	-0.668461	-0.666587	-0.702695	-0.694765	-0.657156	-0.594577	-0.734759	-0.704198	-0.710391	-0.705057	-0.738014	-0.329232	-0.389203	-0.397108	-0.016457	0.00934	-0.024222	-0.069457	-0.101619	-0.035708	-0.183564	-0.16864	-0.163369
breast_variant_human_mammary_epithelial_cells_vhmec	80	-0.455847	-0.695573	-0.741559	-0.6913	-0.745631	-0.697318	-0.721668	-0.711003	-0.694409	-0.712732	-0.682852	-0.710307	-0.72081	-0.735326	-0.701831	-0.709693	-0.430099	-0.392278	-0.396749	-0.037915	0.001039	-0.030635	-0.067899	-0.083	-0.05033	-0.188604	-0.176701	-0.175154
breast_variant_human_mammary_epithelial_cells_vhmec	90	-0.437992	-0.697058	-0.720099	-0.691346	-0.691241	-0.646659	-0.709692	-0.733641	-0.7113	-0.741934	-0.71237	-0.7509	-0.757298	-0.692761	-0.713989	-0.718259	-0.44681	-0.45699	-0.45395	-0.037999	-0.011738	-0.028099	-0.110369	-0.113635	-0.035875	-0.194819	-0.186263	-0.164031
breast_variant_human_mammary_epithelial_cells_vhmec	100	-0.436554	-0.701811	-0.723899	-0.720915	-0.735967	-0.629969	-0.72667	-0.735404	-0.707532	-0.754413	-0.702348	-0.717883	-0.684556	-0.689854	-0.722326	-0.722695	-0.422785	-0.456969	-0.475239	-0.051929	-0.008066	-0.027084	-0.082688	-0.110893	-0.029106	-0.218576	-0.197293	-0.189827
