breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
breast_variant_human_mammary_epithelial_cells_vhmec	10	-0.146392	-0.072607	-0.228115	-0.153041	-0.134505	-0.162909	-0.159363	-0.168609	-0.171011	-0.164763	-0.156596	-0.152595	-0.164111	-0.158402	-0.126715	-0.1153	-0.130437	-0.167229	-0.087486	-0.171576	-0.177151	-0.144198	-0.147529	-0.166689	-0.125675	-0.161109	-0.202754	-0.178234	-0.183577
breast_variant_human_mammary_epithelial_cells_vhmec	20	-0.148065	-0.092244	-0.268114	-0.180266	-0.190961	-0.199217	-0.174345	-0.212099	-0.185017	-0.181381	-0.181071	-0.198366	-0.176285	-0.17056	-0.195018	-0.166359	-0.147578	-0.179822	-0.199295	-0.1443	-0.181947	-0.202628	-0.183896	-0.155682	-0.171341	-0.177396	-0.2034	-0.180679	-0.216108
breast_variant_human_mammary_epithelial_cells_vhmec	30	-0.154043	-0.146628	-0.268091	-0.179736	-0.207594	-0.200125	-0.187249	-0.215784	-0.20255	-0.187178	-0.181375	-0.202003	-0.186521	-0.215657	-0.198835	-0.176566	-0.178092	-0.19956	-0.203789	-0.167281	-0.20606	-0.205053	-0.22292	-0.19377	-0.161066	-0.180382	-0.263206	-0.251408	-0.241139
breast_variant_human_mammary_epithelial_cells_vhmec	40	-0.205151	-0.129618	-0.248639	-0.163256	-0.184662	-0.208429	-0.188603	-0.224789	-0.189441	-0.197482	-0.194095	-0.190971	-0.202293	-0.192551	-0.189842	-0.210119	-0.186451	-0.173496	-0.202087	-0.195137	-0.193095	-0.19065	-0.186884	-0.184548	-0.189046	-0.185267	-0.268122	-0.259759	-0.243547
breast_variant_human_mammary_epithelial_cells_vhmec	50	-0.159778	-0.107174	-0.238733	-0.176872	-0.20458	-0.193942	-0.190279	-0.204053	-0.213341	-0.171625	-0.181357	-0.194684	-0.160456	-0.205879	-0.180844	-0.178804	-0.183325	-0.201169	-0.168193	-0.176922	-0.203053	-0.184712	-0.195494	-0.176175	-0.173466	-0.190876	-0.265533	-0.239627	-0.260635
breast_variant_human_mammary_epithelial_cells_vhmec	60	-0.225545	-0.135702	-0.241396	-0.19498	-0.212824	-0.205021	-0.180126	-0.205978	-0.201032	-0.193883	-0.181679	-0.197657	-0.187224	-0.210119	-0.207973	-0.178218	-0.183093	-0.145124	-0.196402	-0.190783	-0.192621	-0.189993	-0.203216	-0.184896	-0.169182	-0.183682	-0.278601	-0.273346	-0.258475
breast_variant_human_mammary_epithelial_cells_vhmec	70	-0.234937	-0.123263	-0.234093	-0.203635	-0.20621	-0.203694	-0.176929	-0.203928	-0.193405	-0.188115	-0.169881	-0.209861	-0.165607	-0.200914	-0.19655	-0.196925	-0.188483	-0.155313	-0.194671	-0.18437	-0.203841	-0.182865	-0.194475	-0.179464	-0.176878	-0.172806	-0.263791	-0.294907	-0.263266
breast_variant_human_mammary_epithelial_cells_vhmec	80	-0.220599	-0.146639	-0.217434	-0.211357	-0.195195	-0.196862	-0.204039	-0.204894	-0.198449	-0.186142	-0.188325	-0.186189	-0.194696	-0.196243	-0.183087	-0.198666	-0.175343	-0.17114	-0.190748	-0.192677	-0.186051	-0.188492	-0.18631	-0.184361	-0.17071	-0.177437	-0.273008	-0.298811	-0.257524
breast_variant_human_mammary_epithelial_cells_vhmec	90	-0.209495	-0.142463	-0.231016	-0.194516	-0.205876	-0.202456	-0.190053	-0.209715	-0.193287	-0.172912	-0.200922	-0.192148	-0.166328	-0.178897	-0.176701	-0.192696	-0.185029	-0.178656	-0.175349	-0.177975	-0.185638	-0.18243	-0.187114	-0.181655	-0.161424	-0.174543	-0.287662	-0.262022	-0.236327
breast_variant_human_mammary_epithelial_cells_vhmec	100	-0.200662	-0.130414	-0.237107	-0.18916	-0.209158	-0.195039	-0.179279	-0.199158	-0.191317	-0.172866	-0.208019	-0.199268	-0.163412	-0.181774	-0.178242	-0.181319	-0.185549	-0.165003	-0.168657	-0.152937	-0.193009	-0.17905	-0.190354	-0.178844	-0.17542	-0.161114	-0.260657	-0.274877	-0.264616
