GENEID	EMBRYO_DEVELOPMENT	NEUROGENESIS	EPITHELIUM_DEVELOPMENT	FOREBRAIN_DEVELOPMENT	NERVOUS_SYSTEM_PROCESS	SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	INTEGRIN_MEDIATED_SIGNALING_PATHWAY	CELL_CYCLE	POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION
ANXA11	0	0	0	0	0	0	0	1	0	0
MYH9	1	0	0	0	0	0	1	1	0	0
PODXL	0	0	1	0	0	0	0	0	0	0
ARHGAP18	0	0	0	0	0	1	0	0	0	0
MTHFD1L	1	0	1	0	0	0	0	0	0	0
RTCB	1	0	0	0	0	0	0	0	0	0
ZYX	0	0	0	0	0	0	1	0	0	0
MYO9B	0	0	0	0	0	1	0	0	0	0
ARPC5	0	0	0	1	0	0	0	0	0	0
FLNA	0	1	1	0	0	0	1	1	0	0
ISL1	1	1	0	1	0	0	0	0	1	1
SLITRK6	1	1	1	0	1	0	0	0	0	0
RBFOX1	0	0	0	0	1	0	0	0	0	0
NSMF	0	1	0	0	0	0	0	0	0	0
EIF4A3	1	0	0	0	1	0	0	0	0	0
HSD17B2	1	0	0	0	0	0	0	0	0	0
DACH1	0	0	0	0	0	0	0	1	0	1
ID2	1	1	1	1	0	0	0	1	1	0
DBN1	1	1	0	0	0	0	0	0	0	0
ODC1	0	0	0	0	0	0	0	0	1	0
